First.Name,Last.Name,tx_id,tx_date,tx_amount,tx_mode,tx_channel,bank_name,dob
uasdyn,dknehei,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
ainnbu,waele,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,1991/07/10 00:00:00
okoeri,pneoiejsh,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,1999/12/16 00:00:00
sebaneid,eiatzbelh,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
uhowkewnoo o,shujao,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
zoewuaeku,hazeef,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,2000/06/13 00:00:00
ohil,nlbeola,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,1967/08/24 00:00:00
eroboaulnwg,ouneusalw,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,1989/05/21 00:00:00
luzu,heinekd,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,1993/12/23 00:00:00
ayuwnan,epert,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,1992/12/24 00:00:00
yaeimed,ygtanai,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
onewogbalur,khkeuwaceum,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
siunl,iaabi lnewoodl,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
nleurogobaw,eshrcla,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
uomshra,ncivivnmia hida,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,1980/01/01 00:00:00
arokpa,lamunse,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,1976/12/12 00:00:00
hmaciaar,chogizie,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,1989/01/01 00:00:00
unils,ahuran,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
ladeeye,peeaj,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,1980/08/31 00:00:00
weblaaab,haizboc,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
aogmy-ohlneor,sjohpiene,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
diital,etts,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,1993/09/06 00:00:00
eloewyo,nohj,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
aosmadibg,tfsaah,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,1984/08/26 00:00:00
nrnikania,tieabhelz,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
riabu,laebonl,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
agho,ulfaeiwo,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
odruwae,islaouise nb,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
baiur,auibwnluom,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
okuaaf,icneue,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
rubai,mofueawli,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,1992/03/31 00:00:00
maoka,onyodua,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,1974/02/05 00:00:00
nogashob,ynihcbueo,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,1999/12/23 00:00:00
awwnnko,uauwnosel,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
uhem,dmhiniac,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
uemh,s linoaebuis,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,2000/12/04 00:00:00
meyoeiy,rnnkifal,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,1980/08/31 00:00:00
oowel,halmtvos nei,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
uwymloaao,ihucrut,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
hgao,aaobli,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,1987/04/02 00:00:00
ooph,oulma,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
emmleaun,uocgwohuk,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
ihlcio,amads,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
aihs,ekynadia,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
gwoorbnelua,leran,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
nodgeeul,ihcnek,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
dunoetsa,cteenaip,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
etst,mflioulna,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
asimeinfj,au nyiuflasalodmoelo,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
oin,oedpum,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
